w0,EY1,sd1,EY2,sd2
0.1,5.13,1.17,9.24,0.25
0.15,5.56,1.52,9.25,0.26
0.2,6.97,1.65,9.09,0.38
0.25,7.92,0.8,9,0.14
0.3,8.02,0.66,8.97,0.13
0.35,8.32,0.82,8.96,0.07
0.4,8.66,0.61,8.94,0.07
0.45,8.69,0.63,8.95,0.06
0.5,9.2,0.48,8.94,0.07
0.55,9.26,0.53,8.74,0.42
0.6,9.57,0.34,8.37,0.61
0.65,9.57,0.34,8.37,0.61
0.7,9.59,0.29,8.34,0.52
0.75,9.64,0.29,8.14,0.54
0.8,9.57,0.46,7.81,0.19
0.85,9.26,0.48,7.27,0.72
0.9,9.38,0.34,7.13,0.85
0.95,9.33,0.37,7.13,0.89
1,9.26,0.3,6.82,0.83
